name,slug,stats_coverage,ends_on
2019,mlb-2019,season_stat_and_boxscore_play_by_play,2019-11-30
2018,mlb-2018,season_stat_and_boxscore_play_by_play,2018-11-30
2017,mlb-2017,season_stat_and_boxscore_play_by_play,2017-11-30
2016,mlb-2016,season_stat_and_boxscore_play_by_play,2016-11-30
2015,mlb-2015,season_stat_and_boxscore,2015-11-30
2014,mlb-2014,season_stat,2014-11-30
2013,mlb-2013,season_stat,2013-11-30
2012,mlb-2012,season_stat,2012-11-15
2011,mlb-2011,no_coverage,2011-10-28
2010,mlb-2010,no_coverage,2010-11-15
2009,mlb-2009,no_coverage,2009-11-05
