abbreviation,location,nickname,slug,name
ARI,Arizona,Diamondbacks,mlb-ari,Arizona Diamondbacks
ATL,Atlanta,Braves,mlb-atl,Atlanta Braves
BAL,Baltimore,Orioles,mlb-bal,Baltimore Orioles
BOS,Boston,Red Sox,mlb-bos,Boston Red Sox
CHC,Chicago,Cubs,mlb-chc,Chicago Cubs
CHW,Chicago,White Sox,mlb-chw,Chicago White Sox
CIN,Cincinnati,Reds,mlb-cin,Cincinnati Reds
CLE,Cleveland,Indians,mlb-cle,Cleveland Indians
COL,Colorado,Rockies,mlb-col,Colorado Rockies
DET,Detroit,Tigers,mlb-det,Detroit Tigers
HOU,Houston,Astros,mlb-hou,Houston Astros
KC,Kansas City,Royals,mlb-kc,Kansas City Royals
LAA,Los Angeles,Angels,mlb-laa,Los Angeles Angels
LA,Los Angeles,Dodgers,mlb-la,Los Angeles Dodgers
MIA,Miami,Marlins,mlb-mia,Miami Marlins
MIL,Milwaukee,Brewers,mlb-mil,Milwaukee Brewers
MIN,Minnesota,Twins,mlb-min,Minnesota Twins
NYM,New York,Mets,mlb-nym,New York Mets
NYY,New York,Yankees,mlb-nyy,New York Yankees
OAK,Oakland,Athletics,mlb-oak,Oakland Athletics
PHI,Philadelphia,Phillies,mlb-phi,Philadelphia Phillies
PIT,Pittsburgh,Pirates,mlb-pit,Pittsburgh Pirates
SD,San Diego,Padres,mlb-sd,San Diego Padres
SF,San Francisco,Giants,mlb-sf,San Francisco Giants
SEA,Seattle,Mariners,mlb-sea,Seattle Mariners
STL,St. Louis,Cardinals,mlb-stl,St. Louis Cardinals
TB,Tampa Bay,Rays,mlb-tb,Tampa Bay Rays
TEX,Texas,Rangers,mlb-tex,Texas Rangers
TOR,Toronto,Blue Jays,mlb-tor,Toronto Blue Jays
WAS,Washington,Nationals,mlb-was,Washington Nationals
